iter	Passed	Remaining
762	2085	647
763	2091	646
764	2094	643
765	2097	640
766	2100	638
767	2103	635
768	2106	632
769	2134	637
770	2141	636
771	2153	636
772	2157	633
773	2159	630
774	2160	627
775	2162	624
776	2163	621
777	2166	618
778	2168	615
779	2169	612
780	2171	608
781	2172	605
782	2173	602
783	2175	599
784	2176	596
785	2177	592
786	2178	589
787	2179	586
788	2180	583
789	2181	579
790	2183	576
791	2184	573
792	2185	570
793	2186	567
794	2187	564
795	2188	560
796	2189	557
797	2191	554
798	2193	551
799	2194	548
800	2195	545
801	2196	542
802	2198	539
803	2199	536
804	2200	533
805	2202	530
806	2202	526
807	2204	523
808	2205	520
809	2206	517
810	2208	514
811	2209	511
812	2211	508
813	2214	505
814	2216	503
815	2218	500
816	2220	497
817	2225	495
818	2227	492
819	2229	489
820	2231	486
821	2232	483
822	2233	480
823	2235	477
824	2236	474
825	2240	472
826	2242	469
827	2245	466
828	2250	464
829	2252	461
830	2254	458
831	2257	455
832	2260	453
833	2263	450
834	2264	447
835	2265	444
836	2266	441
837	2267	438
838	2268	435
839	2269	432
840	2272	429
841	2273	426
842	2274	423
843	2275	420
844	2277	417
845	2279	415
846	2283	412
847	2287	410
848	2298	408
849	2299	405
850	2301	403
851	2302	400
852	2305	397
853	2322	397
854	2323	394
855	2324	391
856	2325	388
857	2326	385
858	2327	381
859	2328	378
860	2328	375
861	2329	372
862	2330	369
863	2331	367
864	2332	364
865	2333	361
866	2334	358
867	2335	355
868	2336	352
869	2336	349
870	2337	346
871	2338	343
872	2339	340
873	2340	337
874	2341	334
875	2342	331
876	2343	328
877	2343	325
878	2344	322
879	2345	319
880	2346	316
881	2347	314
882	2348	311
883	2348	308
884	2349	305
885	2350	302
886	2351	299
887	2352	296
888	2353	293
889	2354	291
890	2355	288
891	2356	285
892	2357	282
893	2358	279
894	2358	276
895	2359	273
896	2360	271
897	2361	268
898	2362	265
899	2363	262
900	2364	259
901	2364	256
902	2365	254
903	2366	251
904	2367	248
905	2368	245
906	2369	242
907	2369	240
908	2370	237
909	2371	234
910	2372	231
911	2373	228
912	2373	226
913	2374	223
914	2375	220
915	2376	217
916	2376	215
917	2377	212
918	2378	209
919	2379	206
920	2380	204
921	2381	201
922	2382	198
923	2383	196
924	2384	193
925	2385	190
926	2386	187
927	2386	185
928	2387	182
929	2388	179
930	2389	177
931	2390	174
932	2391	171
933	2392	169
934	2393	166
935	2394	163
936	2395	161
937	2395	158
938	2396	155
939	2397	153
940	2398	150
941	2399	147
942	2399	145
943	2400	142
944	2401	139
945	2402	137
946	2403	134
947	2404	131
948	2405	129
949	2406	126
950	2406	124
951	2407	121
952	2408	118
953	2409	116
954	2410	113
955	2411	110
956	2412	108
957	2412	105
958	2413	103
959	2414	100
960	2415	98
961	2416	95
962	2417	92
963	2418	90
964	2419	87
965	2420	85
966	2420	82
967	2421	80
968	2422	77
969	2423	74
970	2424	72
971	2425	69
972	2426	67
973	2426	64
974	2427	62
975	2428	59
976	2429	57
977	2430	54
978	2431	52
979	2432	49
980	2433	47
981	2434	44
982	2434	42
983	2435	39
984	2436	37
985	2437	34
986	2438	32
987	2439	29
988	2440	27
989	2441	24
990	2442	22
991	2443	19
992	2444	17
993	2444	14
994	2445	12
995	2446	9
996	2447	7
997	2448	4
998	2449	2
999	2450	0
