OBJECTID,year,state,st_case,veh_no,a_wrongwaydrv,a_drdis,a_drdro,a_vrd,a_body,a_imp1,a_vroll,a_lic_s,a_lic_c,a_cdl_s,a_mc_l_s,a_spveh,a_sbus,a_mod_yr,a_fire_exp,a_imp2
37033,2022,36,360303,1,2,2,2,1,3,2,1,1,1,2,4,1,3,2011,1,
37034,2022,36,360304,1,2,2,2,2,2,2,2,1,1,2,4,2,3,2018,1,
37035,2022,36,360304,2,2,2,2,2,7,2,2,4,1,1,1,1,3,2005,1,
37036,2022,36,360305,1,2,2,2,1,7,2,2,4,1,1,1,1,3,2021,1,
37037,2022,36,360306,1,2,2,2,2,1,4,2,1,1,2,4,2,3,2005,1,
37038,2022,36,360307,1,2,2,2,2,3,2,2,2,2,2,4,2,3,2012,1,
37039,2022,36,360307,2,2,2,2,2,7,4,2,4,1,2,1,2,3,2019,1,
37040,2022,36,360308,1,2,2,2,1,1,2,2,1,1,2,4,2,3,2001,1,
37041,2022,36,360308,2,2,2,2,2,1,2,2,1,1,2,4,2,3,2017,1,
37042,2022,36,360309,1,2,2,2,2,3,5,2,1,1,2,4,2,3,2020,1,
37043,2022,36,360309,2,2,2,2,2,1,2,2,1,1,2,4,2,3,2016,1,
37044,2022,36,360311,1,2,2,2,2,7,1,2,4,2,2,3,1,3,2006,1,
37045,2022,36,360312,1,2,2,2,1,7,2,2,4,1,1,1,1,3,2013,1,
37046,2022,36,360313,1,2,2,2,1,3,2,2,1,1,2,4,2,3,2008,1,
37047,2022,36,360313,2,2,2,2,2,7,2,2,4,2,2,2,1,3,2022,1,
37048,2022,36,360314,1,2,2,2,1,1,2,2,1,1,2,4,2,3,2010,1,
37049,2022,36,360315,1,2,2,2,2,1,2,2,1,1,2,4,1,3,2012,1,
37050,2022,36,360315,2,2,2,2,2,1,5,2,1,1,2,4,2,3,2010,1,
37051,2022,36,360316,1,2,2,2,2,3,2,2,1,1,2,4,1,3,2021,1,
37052,2022,36,360316,2,2,2,2,2,1,4,2,1,1,2,4,2,3,2018,1,
37053,2022,36,360317,1,2,1,2,2,3,2,2,1,1,2,4,2,3,2005,1,
37054,2022,36,360317,2,2,2,2,2,3,5,2,1,1,2,4,2,3,2019,1,
37055,2022,36,360318,1,2,2,2,2,2,4,2,1,1,2,4,2,3,2003,1,
37056,2022,36,360318,2,2,2,2,2,7,3,2,4,1,2,1,2,3,2006,1,
37057,2022,36,360319,1,2,2,2,1,3,5,1,1,1,2,4,1,3,2017,1,
37058,2022,36,360320,1,2,2,2,1,9,2,2,1,1,2,4,1,3,9999,1,
37059,2022,36,360321,1,2,2,2,1,1,2,2,1,1,2,4,1,3,2007,1,
37060,2022,36,360322,1,2,2,2,1,7,5,2,4,2,2,3,2,3,2008,1,
37061,2022,36,360322,2,2,2,2,2,3,2,2,1,1,2,4,2,3,2014,1,
37062,2022,36,360323,1,2,2,2,1,1,2,2,1,1,2,4,1,3,2009,1,
37063,2022,36,360324,1,2,2,2,2,3,2,2,1,1,2,4,2,3,2017,1,
37064,2022,36,360325,1,2,2,2,2,1,2,2,1,1,2,4,2,3,2010,1,
37065,2022,36,360326,1,2,2,2,2,3,2,2,1,1,2,4,2,3,2019,1,
37066,2022,36,360327,1,2,2,2,2,7,2,2,4,1,1,1,1,3,2004,1,
37067,2022,36,360327,2,2,2,2,2,6,4,2,1,1,1,4,1,3,2020,1,
37068,2022,36,360328,1,2,2,2,2,8,3,2,1,1,1,4,2,3,2022,1,
37069,2022,36,360329,1,2,2,2,2,6,4,2,1,1,1,4,2,3,2001,1,
37070,2022,36,360330,1,2,2,2,1,3,2,2,1,1,2,4,2,3,2005,1,
37071,2022,36,360330,2,2,2,2,2,6,2,2,1,1,1,4,2,3,2022,1,
37072,2022,36,360331,1,2,2,2,1,7,1,2,4,2,2,2,2,3,1982,1,
37073,2022,36,360332,1,2,2,2,2,9,2,2,3,3,3,4,2,3,9999,1,
