station_id,station_name,full_station_name,station_number,station_type,latitude,longitude,county_name,sample_count,sample_date_min,sample_date_max
29843,13S02E31J001M,13S02E31J001M,13S02E31J001M,Groundwater,36.7516,-121.7833,Monterey,2,6/16/1953 0:00,6/16/1953 0:00
29844,13S02E31K001M,13S02E31K001M,13S02E31K001M,Groundwater,36.7516,-121.7878,Monterey,1,7/6/1967 8:50,7/6/1967 8:50
29845,13S02E31K002M,13S02E31K002M,13S02E31K002M,Groundwater,36.7516,-121.7878,Monterey,21,6/5/1953 0:00,9/27/1977 11:45
29846,13S02E31L001M,13S02E31L001M,13S02E31L001M,Groundwater,36.7516,-121.7924,Monterey,3,7/21/1950 0:00,8/5/1955 11:30
29847,13S02E31M001M,13S02E31M001M,13S02E31M001M,Groundwater,36.7516,-121.7969,Monterey,2,6/21/1951 0:00,7/18/1952 0:00
29848,13S02E31M002M,13S02E31M002M,13S02E31M002M,Groundwater,36.7516,-121.7969,Monterey,17,3/18/1953 12:00,8/4/1971 12:00
29849,13S02E31N002M,13S02E31N002M,13S02E31N002M,Groundwater,36.748,-121.7969,Monterey,15,6/4/1953 0:00,9/5/1984 0:00
29851,13S02E31P001M,13S02E31P001M,13S02E31P001M,Groundwater,36.748,-121.7924,Monterey,8,9/28/1951 0:00,7/14/1981 0:00
29852,13S02E31P003M,13S02E31P003M,13S02E31P003M,Groundwater,36.748,-121.7924,Monterey,1,9/15/1951 0:00,9/15/1951 0:00
29853,13S02E32A001M,13S02E32A001M,13S02E32A001M,Groundwater,36.7588,-121.7653,Monterey,4,8/4/1971 14:30,8/9/1979 0:00
29854,13S02E32A002M,13S02E32A002M,13S02E32A002M,Groundwater,36.7588,-121.7653,Monterey,14,6/19/1959 15:30,8/7/1984 0:00
29855,13S02E32B002M,13S02E32B002M,13S02E32B002M,Groundwater,36.7588,-121.7698,Monterey,2,5/22/1979 0:00,6/12/1979 0:00
29857,13S02E32C001M,13S02E32C001M,13S02E32C001M,Groundwater,36.7588,-121.7744,Monterey,31,6/3/1953 0:00,7/27/1983 0:00
29858,13S02E32C002M,13S02E32C002M,13S02E32C002M,Groundwater,36.7588,-121.7744,Monterey,2,7/14/1981 0:00,8/4/1982 0:00
29860,13S02E32E003M,13S02E32E003M,13S02E32E003M,Groundwater,36.7552,-121.7789,Monterey,6,6/20/1977 0:00,8/2/1984 0:00
29861,13S02E32E004M,13S02E32E004M,13S02E32E004M,Groundwater,36.7552,-121.7789,Monterey,1,8/4/1971 13:45,8/4/1971 13:45
29862,13S02E32J001M,13S02E32J001M,13S02E32J001M,Groundwater,36.7516,-121.7653,Monterey,7,6/3/1953 0:00,6/18/1958 15:30
29863,13S02E32J003M,13S02E32J003M,13S02E32J003M,Groundwater,36.7516,-121.7653,Monterey,1,8/7/1984 0:00,8/7/1984 0:00
29864,13S02E32M001M,13S02E32M001M,13S02E32M001M,Groundwater,36.7516,-121.7789,Monterey,2,8/30/1985 0:00,9/24/1986 0:00
29865,13S02E32N001M,13S02E32N001M,13S02E32N001M,Groundwater,36.748,-121.7789,Monterey,16,6/5/1953 0:00,8/29/1985 0:00
29866,13S02E32Q001M,13S02E32Q001M,13S02E32Q001M,Groundwater,36.748,-121.7698,Monterey,4,6/16/1953 0:00,6/12/1979 0:00
29867,13S02E33E001M,13S02E33E001M,13S02E33E001M,Groundwater,36.7552,-121.7609,Monterey,8,8/17/1954 0:00,7/5/1961 10:30
29868,13S02E33H003M,13S02E33H003M,13S02E33H003M,Groundwater,36.7552,-121.7473,Monterey,2,8/13/1979 0:00,5/29/1984 11:30
29869,13S02E33N002M,13S02E33N002M,13S02E33N002M,Groundwater,36.748,-121.7609,Monterey,2,6/16/1953 0:00,6/16/1953 0:00
29870,13S02E33N003M,13S02E33N003M,13S02E33N003M,Groundwater,36.748,-121.7609,Monterey,1,8/10/1979 0:00,8/10/1979 0:00
29871,13S02E33R001M,13S02E33R001M,13S02E33R001M,Groundwater,36.748,-121.7473,Monterey,21,8/5/1954 0:00,8/5/1985 0:00
29872,13S02E35L001M,13S02E35L001M,13S02E35L001M,Groundwater,36.7516,-121.7204,Monterey,1,8/13/1973 0:00,8/13/1973 0:00
29873,13S02E36J001M,13S02E36J001M,13S02E36J001M,Groundwater,36.7516,-121.6932,Monterey,2,8/13/1973 0:00,8/30/1979 0:00
29874,13S02W01J001S,13S02W01J001S,13S02W01J001S,Groundwater,33.0681,-117.0355,San Diego,1,4/5/1957 0:00,4/5/1957 0:00
29875,13S02W01R001S,13S02W01R001S,13S02W01R001S,Groundwater,33.0645,-117.0355,San Diego,1,7/10/1953 0:00,7/10/1953 0:00
29876,13S02W01R002S,13S02W01R002S,13S02W01R002S,Groundwater,33.0645,-117.0355,San Diego,1,11/19/1963 0:00,11/19/1963 0:00
46672,13S02W02D002SS,13S02W02D002SS,13S02W02D002SS,Groundwater,33.0754,-117.0659,San Diego,1,2/15/1957 16:00,2/15/1957 16:00
